municipio_ensadul,municipio_obs,año,n,diabetes_pct,hta_pct,colesterol_pct,score_dep_media,edad_media,pct_mujeres,pct_rural,pct_urbano,fuma_pct,geo_id,camas_x100k_2024,enfermeras_x100k_2024,mort_diab_hta_2024,mort_diabetes_2021,mort_diabetes_2024,camas_x100k_2023,mort_diabetes_2020,pobreza_pct_2020,mort_diab_hta_2023,mort_diab_hta_2022,mort_diab_hta_2020,carencia_salud_pct_2020,idx_marginacion_2020,camas_x100k_2022,mort_diab_hta_2021,camas_x100k_2021,mort_diabetes_2023,idx_rezago_2020,mort_diabetes_2022,camas_x100k_2020,enfermeras_x100k_2023,enfermeras_x100k_2021,enfermeras_x100k_2022,enfermeras_x100k_2020,muestra_suficiente,prioridad_intervencion
ABASOLO,Abasolo,2022,52,15.4,9.6,19.2,11.79,49.5,55.8,100.0,0.0,13.5,11001,21.0588383944742,116.876553089332,13.898833340352944,151.775884735835,125.300088447121,21.1676050971593,103.985763598551,47.7769037516,12.277210956352397,10.96339503347561,12.43541090456894,24.46206019,55.5402606919792,21.28814569606914,16.35331715815688,21.37688517406129,102.662884721223,-0.540405,92.6034337779008,21.44036362856714,129.122391092672,129.330155303071,135.179725170039,137.21832722283,True,46.1
APASEO EL GRANDE,Apaseo el Grande,2022,35,17.1,22.9,11.4,10.4,49.0,65.7,0.0,0.0,20.0,11005,9.30023483092948,82.1520743398771,9.610242658627133,95.231893730974,72.8518395089476,9.454998148396196,91.6431366721157,41.1559721421,8.58828998479321,10.81947505509918,10.23761166427239,26.09208552,57.409175625332,9.61731116008816,10.66271630663042,9.76737371599733,69.3366530882388,-0.743184,94.5702264075336,9.907366126715212,95.3378979963283,93.6039981116411,92.9673412141855,97.4224335793663,True,59.2
CELAYA,Celaya,2022,66,13.6,18.2,7.6,10.17,48.6,59.1,0.0,100.0,16.7,11007,73.7770591412858,259.579235111354,12.725183173754944,119.262035729932,102.780325634175,76.41995422133198,124.45397941127,40.4969922484,14.111118645186,12.43822594936474,14.50389319997809,30.91543732,58.8389938098381,74.33276610574161,14.28523285116772,75.07704290063245,116.004390940295,-1.12077,106.957621054895,75.72996319259396,285.70433724474,270.913917898292,288.062639721502,268.359794754803,True,43.2
COMONFORT,Comonfort,2022,31,12.9,19.4,3.2,10.45,45.7,77.4,0.0,0.0,3.2,11009,21.795725616032,151.359205666889,15.862444753889932,151.884085922997,125.930859114851,21.76436448055717,126.132186531485,52.051214845,17.048752176436448,17.27616493300956,15.25598827571295,18.72817296,54.1045646023985,21.74622159399804,17.71981002434967,21.69772656042817,146.304894563745,-0.205953,143.766687204765,21.62266054825457,168.069259044303,165.143807709926,165.512908798763,147.75484707974,True,71.8
DOLORES HIDALGO CUNA DE LA INDEPEN,Dolores Hidalgo,2022,75,17.3,28.4,18.7,10.85,45.9,81.3,54.7,0.0,8.0,11014,34.3806047548376,134.657368623114,9.569268323429808,107.334525939177,79.6484010153739,34.84401495969708,104.338805592077,53.0576928935,9.175590606053566,10.89427255703299,11.70042097390927,37.77985054,55.0125571352096,35.33277586064754,12.34347048300537,35.77817531305903,85.3678366512579,-0.432231,91.27633764000608,36.18686899147196,155.055866570652,152.653548002385,149.575417810075,159.825338045668,True,71.5
GUANAJUATO,Guanajuato,2022,24,4.2,16.7,4.2,9.5,44.8,62.5,0.0,0.0,8.3,11015,66.661476478717,211.662352322933,8.758442165086903,97.3558355790414,73.9601782829561,67.35562788228006,93.6116382036686,33.4334983247,9.587114917550814,10.78619962919332,10.72738772928526,18.98708025,58.5616972804428,66.60602535999563,12.14438773717939,67.24578333810075,80.1384477723478,-1.030786,90.464900115815,67.80518659076533,234.02393337201,242.887754743588,242.565226684163,245.414294750158,False,
HUANÍMARO,Huanímaro,2022,33,9.1,18.2,18.2,11.03,51.3,60.6,100.0,0.0,9.1,11016,37.6967298086891,146.07482800867,15.078691923475638,234.785875281743,127.226463104326,37.66655680587598,140.377146600533,49.4217310454,16.008286642497293,19.76005645730417,15.44148612605868,13.34935639,56.1618594066586,37.63820277581745,29.11344853493614,37.56574004507889,127.124629219831,-0.671679,178.781463185133,37.43390576014225,178.916144827911,187.828700225394,197.600564573042,182.490290580693,True,67.1
IRAPUATO,Irapuato,2022,86,18.6,24.4,20.9,11.19,48.4,72.1,0.0,100.0,16.3,11017,68.1757535129225,220.79832342968,11.454828275202248,124.010934154995,95.348428540746,68.57958423422465,118.831364167441,35.5083892839,11.980967937816812,11.26771700239192,13.81102987736271,25.12219342,58.7609194025885,68.36407245603284,14.50381553001015,57.45232864056532,101.150794884847,-1.038608,97.192295780866,66.31288713679568,224.888660472135,218.219507631888,223.377547591278,214.727444062005,True,50.1
JARAL DEL PROGRESO,Jaral del Progreso,2022,31,19.4,29.0,22.6,9.9,44.2,64.5,0.0,0.0,3.2,11018,50.155481994182,220.684120774401,14.545089778312768,142.189721714402,120.373156786037,50.37656482204479,137.401083941884,54.972117575,12.594141205511196,12.65470375338513,17.5568051703519,15.95633673,56.9345416463024,50.61881501354054,17.26589477960593,50.78204346942921,93.1966449207828,-0.843632,98.706689276404,50.88929034884608,234.251026422508,276.762136908389,250.563134317026,264.624309814,True,77.7
LEÓN,León,2022,332,13.3,21.1,17.5,11.21,46.2,60.8,12.3,87.7,21.7,11020,96.6308302581431,314.198736507333,8.793459567370432,92.7443475280108,71.1902930577041,92.66642006767772,105.292233028547,45.8862788678,8.696724343430192,9.50622688454412,12.17851627549698,26.72374925,59.0793372109962,108.0784016188954,10.72902695111274,104.8659491806079,70.0341128601373,-1.054585,79.87678060974461,105.1210261455738,343.375392160892,349.6659230205,343.815028515899,349.03376542146,True,38.8
PÉNJAMO,Pénjamo,2022,44,18.2,20.5,6.8,10.52,45.3,72.7,54.5,0.0,20.5,11023,26.2183740862585,192.268076632562,14.919503349085169,159.150857258801,131.091870431292,26.35790266403088,178.737262584757,51.0809791922,14.685117198531488,15.59126888942192,20.1635986616968,21.22145004,55.2419593139735,26.51146936662837,18.83179466369078,26.63082073653241,126.768960431768,-0.463296,140.763277827574,26.71517803757935,211.490790423295,213.046565892259,205.779500321925,216.26572697088,True,73.8
SALAMANCA,Salamanca,2022,77,10.4,16.9,20.8,11.92,46.4,64.9,48.1,16.9,9.1,11027,59.8339878808977,281.038427925429,15.520573826075289,136.124365537365,131.997403567556,63.79169113223003,154.193930464676,37.0841033594,13.591979644651284,14.71723692938989,18.9221591483584,21.05067762,58.3158092065983,63.07387255452809,16.40008978415599,62.99372234973825,111.273006690879,-1.056396,117.810394139205,54.8887059265358,302.648080087569,278.403290154878,296.519699710368,276.249079169736,True,42.1
SAN FELIPE,San Felipe,2022,52,13.5,21.2,19.2,11.6,45.9,76.9,63.5,0.0,7.7,11030,12.6056709762304,104.784639989915,6.696762706122417,93.61923834644,59.089082701080095,12.74575407067521,79.6747299683765,51.9080123915,7.647452442405124,8.541842942906644,9.281695346831492,22.26044854,53.9971522493502,12.89334783834965,11.64134876829646,13.02528533515688,65.3219896122104,-0.253882,62.8550707119545,13.1422234999384,113.118567377242,106.644523681597,113.622627825456,114.173066655715,True,56.3
SAN JOSÉ ITURBIDE,San José Iturbide,2022,43,11.6,14.0,16.3,11.09,44.2,65.1,100.0,0.0,7.0,11032,30.6416358547995,179.76426368149,5.821910812411906,77.55277897457991,46.9838416440259,31.19248884868524,73.30656367276819,24.2425907719,7.902097175000261,6.248345247550967,8.862435309692879,28.17717918,57.2411850613912,31.77124702144559,9.263248599741493,32.31365790607497,62.384977697370495,-0.930426,47.6568705321684,32.82383448034399,207.949925657902,216.501507970702,212.867355043685,203.507773778133,True,15.8
SAN LUIS DE LA PAZ,San Luis de la Paz,2022,21,9.5,23.8,14.3,9.52,54.0,61.9,0.0,0.0,9.5,11033,52.8626598728359,241.552987474486,9.61806728241876,122.903247832123,71.2177501064595,53.45013176942207,123.998254839376,51.1327299329,9.502245647897256,8.787016244714648,13.54795747319112,28.44417329,55.0984879479621,51.82086503293254,12.9731206045019,52.34767963220065,69.7821164767455,-0.402081,78.10681106413021,52.81407150566029,262.054118258417,264.773046255624,268.116649518216,267.897464159146,False,
SAN MIGUEL DE ALLENDE,Allende,2022,71,11.3,18.6,16.9,10.87,44.2,62.0,50.7,0.0,12.7,11003,32.4913589790991,149.012094628282,10.25158395375023,129.286496618227,82.34878913668221,32.5780468899199,94.3396226415094,43.466392432,11.62699259691969,11.32681524893635,11.24166760817987,19.91513993,56.201217751103,32.68434250936857,16.8806386414191,32.74505154522769,94.9256883516632,-0.607835,86.2190414471274,32.76465936052423,160.081782131503,172.193805539559,169.620467160689,170.037283922721,True,47.3
