CVE_COL,ID_COL,COLONIA,CP,CLASIF,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,SUN_2018,NOM_SUN,POB_TOT,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVHAC,OVSREF,OVSINT,OVSCEL,IM_2020,GM_2020,IMN_2020,ENTIDAD,fn_COLONIA,NOM_ENT_etq,marginacion_z
11003_0001,21115.0,Acuarela,37770,Villa,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,25.6914978027344,5.85106380651751,21.5042738126559,26.0366715210029,0.0,0.0,0.0,1.24223599744248,11.3212880186977,2.20214576903772,17.2219095289948,7.84867307235771,150.763911457959,Bajo,0.961210471763624,Guanajuato,,Guanajuato,0.596629630101331
11003_0002,21116.0,Adolfo Lopez Mateos,37736,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,2792.44996953011,7.03278722013882,39.2222560770783,41.4665865610803,0.285414388601281,2.67976146775051,25.3010407046013,9.78980243897071,34.9143215034583,9.83507615647849,52.6822039692588,8.93442311376303,141.47009459088,Muy alto,0.901956808145452,Guanajuato,,Guanajuato,-2.1121635950547177
11003_0003,21119.0,Allende,37760,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,1285.83616256714,7.47435724855049,26.7523880401293,39.9416399828189,0.0,0.203035869712095,0.0946840640096836,3.2107581754108,18.8630530550358,4.17957186059945,22.8668601758061,7.03488107833971,148.305732050851,Medio,0.945538101865974,Guanajuato,,Guanajuato,-0.11983593183362257
11003_0004,21120.0,Allende,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,581.690586805344,4.25825441324805,13.3882620369322,37.1452584333916,0.0,0.0060692898237761,0.107396785704873,0.348088649606539,7.92837650662667,1.04149471992908,13.9458199271373,5.02006410272296,151.350522194103,Bajo,0.964950467475978,Guanajuato,,Guanajuato,0.7676042910610613
11003_0005,21123.0,Arboledas,0,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,462.361053466797,4.60526331973313,19.4683637300668,32.3910482502922,0.0,0.0,0.0294898268464553,0.324388101771897,12.3267472987739,1.85785914947468,8.69949913291364,2.62459458287363,151.255155877367,Bajo,0.964342449937737,Guanajuato,,Guanajuato,0.7398086462385735
11003_0006,21124.0,Arcos de San Miguel,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,1660.03769874573,6.35694764172329,25.4941586161363,40.4805299761097,0.0,0.0117801186068514,0.0026854623613866,0.799623928483964,15.9798957975742,1.75552332584611,14.2445083081385,6.03394924159841,149.373910306203,Medio,0.952348379702529,Guanajuato,,Guanajuato,0.19149729785437447
11003_0007,21126.0,Azteca,37729,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,146.662543296814,8.54433038328979,26.4230772410952,33.2371999635337,0.0,0.0290753981808318,0.0,1.5569805016311,13.0474762639506,1.82163758162689,16.474205755323,9.43263903387508,149.0850057767,Medio,0.950506439835002,Guanajuato,,Guanajuato,0.10729264400470759
11003_0008,21127.0,Balcones,37720,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,670.916442871094,7.32729534828005,26.7391065024987,38.1103851047147,0.0,0.0,0.0,1.03698774956756,18.0561163815386,2.28796706839549,15.1290830748029,7.60838676066669,149.013963456762,Medio,0.950053502383311,Guanajuato,,Guanajuato,0.08658651672679069
11003_0009,21129.0,Bellavista,37735,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,532.920166015625,4.25531918285018,13.3600000013735,37.0547383057915,0.0,0.0,0.108577635679259,0.325732907037778,7.86102119897876,1.02062983801844,13.9413684391121,5.03800258184174,151.367969357056,Bajo,0.965061703617116,Guanajuato,,Guanajuato,0.7726894737670712
11003_0010,21130.0,Bicentenario,0,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,142.328460693359,6.31067947309685,39.3495937911974,34.6808031912946,0.508512026837945,5.37254022449779,46.8052171480388,15.1669243794149,34.4903819863298,15.6975457852533,71.9655102191764,11.2757011838934,137.147977639833,Muy alto,0.874400717079908,Guanajuato,,Guanajuato,-3.371895875427046
