CLUES,NOMBRE_CLUES,control_diabetes,control_hipertension,control_obesidad,control_dislipidemia,control_sx_metabolico,localidad_iml,NOM_LOC,POB_TOT,IM_2020,GM_2020,sin_indice_marginacion,control_total,tasa_control_x100hab,score_enfermedad,score_marginacion,prioridad_activacion
GTSSA000334,AGUSTIN GONZALEZ-UMAPS,79.0,138.0,45.0,92.0,49.0,Agustín González,Agustín González,670,21.6647331703121,Bajo,False,403.0,60.15,35.38610038610038,33.029861628011275,34.2
GTSSA000346,ALCOCER-UMAPS,82.0,127.0,52.0,110.0,77.0,Alcocer,Alcocer,1094,22.4284976162005,Bajo,False,448.0,40.95,23.030888030888033,20.645325864739863,21.8
GTSSA000351,SANTUARIO DE ATOTONILCO (ATOTONILCO)-UMAPS,63.0,75.0,50.0,65.0,39.0,Santuario de Atotonilco,Santuario de Atotonilco,637,23.7017117415157,Muy bajo,False,292.0,45.84,26.177606177606183,0.0,13.1
GTSSA000363,E.S.I. 26 LA CAMPANA,17.0,40.0,30.0,35.0,23.0,La Campana,La Campana,959,21.3343605109644,Bajo,False,145.0,15.12,6.409266409266408,38.38689551054489,22.4
GTSSA000375,LA CIENEGUITA-UMAPS,55.0,70.0,20.0,32.0,21.0,La Cieneguita,La Cieneguita,1387,23.1471123471641,Muy bajo,False,198.0,14.28,5.868725868725868,8.992898361021243,7.4
GTSSA000380,ESI 42 LA PUERTA,57.0,85.0,35.0,65.0,47.0,La Puerta,La Puerta,180,21.860342547426,Bajo,False,289.0,160.56,100.0,29.85803117748475,64.9
GTSSA000392,CORRAL DE PIEDRAS DE ARRIBA-UMAPS,86.0,207.0,112.0,112.0,105.0,Corral de Piedras de Arriba,Corral de Piedras de Arriba,2159,23.0232936205398,Bajo,False,622.0,28.81,15.218790218790218,11.00063445857905,13.1
GTSSA000404,CORRALEJO DE ARRIBA (CORRALEJO)-UMAPS,60.0,122.0,65.0,64.0,50.0,Corralejo de Arriba,Corralejo de Arriba,743,23.0211954763288,Bajo,False,361.0,48.59,27.94723294723295,11.034656128686269,19.5
GTSSA000416,LA CRUZ DEL PALMAR-UMAPS,76.0,79.0,34.0,52.0,42.0,La Cruz del Palmar,La Cruz del Palmar,1248,23.0894202957525,Muy bajo,False,283.0,22.68,11.274131274131273,9.928382171258532,10.6
GTSSA000421,FAJARDO DE BOCAS-UMAPS,61.0,89.0,37.0,70.0,47.0,Fajardo de Bocas,Fajardo de Bocas,340,22.3830132378297,Bajo,False,304.0,89.41,54.21492921492921,21.38286073381601,37.8
GTSSA000433,GALVANES-UMAPS,44.0,65.0,31.0,59.0,31.0,Los Galvanes,Los Galvanes,1924,23.3173382678043,Muy bajo,False,230.0,11.95,4.369369369369369,6.23266382358849,5.3
GTSSA000445,JALPA-UMAPS,43.0,80.0,32.0,40.0,31.0,Jalpa,Jalpa,613,22.9130072493205,Bajo,False,226.0,36.87,20.405405405405403,12.788941725197239,16.6
GTSSA000450,ESI 17 DON FRANCISCO,65.0,67.0,52.0,51.0,49.0,Don Francisco,Don Francisco,1272,18.9958817226505,Medio,False,284.0,22.33,11.048906048906048,76.30562076861605,43.7
GTSSA000462,LA PALMILLA-UMAPS,53.0,47.0,26.0,49.0,28.0,La Palmilla,La Palmilla,383,17.5346299833647,Alto,False,203.0,53.0,30.785070785070783,100.0,65.4
GTSSA000474,PUERTO DE NIETO-UMAPS,96.0,161.0,77.0,121.0,95.0,Puerto de Nieto,Puerto de Nieto,1524,22.6996346536845,Bajo,False,550.0,36.09,19.903474903474905,16.248804979871707,18.1
GTSSA000486,LOS RODRIGUEZ-UMAPS,72.0,85.0,56.0,43.0,45.0,Los Rodríguez,Los Rodríguez,3196,23.5779017113838,Muy bajo,False,301.0,9.42,2.741312741312741,2.007595082848769,2.4
GTSSA000491,SAN MIGUELITO-UMAPS,49.0,78.0,43.0,73.0,55.0,San Miguelito,San Miguelito,331,23.6501154517464,Muy bajo,False,298.0,90.03,54.61389961389962,0.8366402748124023,27.7
GTSSA000503,LA TALEGA-UMAPS,44.0,122.0,56.0,66.0,52.0,La Talega,La Talega,417,23.2123967035048,Muy bajo,False,340.0,81.53,49.14414414414415,7.934304379282392,28.5
GTSSA016801,SAN JOSE DE ALLENDE-UMAPS,35.0,69.0,31.0,32.0,30.0,San José de Allende,San José de Allende,925,19.6288207118019,Medio,False,197.0,21.3,10.386100386100386,66.04243610571046,38.2
GTSSA016936,CARAVANA TIPO II CIENEGA DE JUANA RUIZ,4.0,10.0,4.0,6.0,2.0,Ciénega de Juana Ruiz,Ciénega de Juana Ruiz,504,22.4689523521503,Bajo,False,26.0,5.16,0.0,19.989347274925773,10.0
GTSSA017361,CARAVANA TIPO 0 LA HUERTA,26.0,33.0,27.0,30.0,21.0,La Huerta,La Huerta,1059,22.0110574569571,Bajo,False,137.0,12.94,5.006435006435006,27.414170119020575,16.2
